Sales Person,Country,Product,Date,Amount,Boxes Shipped,Sales_Category
Gigi Bohling,USA,Choco Coated Almonds,02/03/2022,12313.0,103,High
Gigi Bohling,UK,Almond Choco,10/01/2022,5642.0,9,High
Jehu Rudeforth,New Zealand,White Choc,11/03/2022,2800.0,241,Low
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/06/2022,959.0,265,Low
Van Tuxwell,UK,Organic Choco Syrup,26/08/2022,2002.0,214,Low
Roddy Speechley,Canada,Milk Bars,13/07/2022,609.0,32,Low
Camilla Castle,USA,Spicy Special Slims,11/02/2022,1274.0,244,Low
Marney O'Breen,USA,Orange Choco,27/01/2022,7595.0,181,High
Van Tuxwell,UK,99% Dark & Pure,31/01/2022,4725.0,137,Low
Camilla Castle,USA,White Choc,18/08/2022,9681.0,24,High
Andria Kimpton,USA,Raspberry Choco,30/06/2022,14504.0,21,High
Dotty Strutley,Australia,Fruit & Nut Bars,23/08/2022,280.0,311,Low
Brien Boise,New Zealand,Mint Chip Choco,01/08/2022,63.0,181,Low
Roddy Speechley,New Zealand,After Nines,25/05/2022,8001.0,10,High
Roddy Speechley,Canada,Organic Choco Syrup,10/01/2022,4032.0,82,Low
Dennison Crosswaite,Australia,70% Dark Bites,07/02/2022,5859.0,108,High
Karlen McCaffrey,USA,Orange Choco,12/05/2022,11095.0,401,High
Madelene Upcott,Australia,Spicy Special Slims,07/03/2022,7182.0,408,High
Dennison Crosswaite,Australia,85% Dark Bars,05/04/2022,6881.0,420,High
Andria Kimpton,Canada,Caramel Stuffed Bars,03/01/2022,7154.0,348,High
Dennison Crosswaite,UK,Eclairs,24/03/2022,6188.0,270,High
Madelene Upcott,India,Raspberry Choco,07/07/2022,4221.0,9,Low
Van Tuxwell,USA,After Nines,26/07/2022,630.0,264,Low
Wilone O'Kielt,Australia,Organic Choco Syrup,07/07/2022,1743.0,111,Low
Karlen McCaffrey,Canada,50% Dark Bites,15/07/2022,2919.0,65,Low
Roddy Speechley,New Zealand,Orange Choco,01/04/2022,49.0,97,Low
Beverie Moffet,Australia,Eclairs,20/06/2022,1827.0,6,Low
Kelci Walkden,UK,Fruit & Nut Bars,29/06/2022,13006.0,482,High
Marney O'Breen,USA,50% Dark Bites,15/06/2022,1064.0,106,Low
Husein Augar,USA,After Nines,08/04/2022,11571.0,180,High
Dennison Crosswaite,Australia,Raspberry Choco,14/03/2022,5740.0,31,High
Andria Kimpton,USA,Fruit & Nut Bars,15/07/2022,1456.0,359,Low
Kelci Walkden,India,Eclairs,19/04/2022,5334.0,80,High
Marney O'Breen,USA,99% Dark & Pure,28/03/2022,4151.0,296,Low
Brien Boise,Canada,Spicy Special Slims,04/03/2022,8106.0,101,High
Karlen McCaffrey,New Zealand,70% Dark Bites,02/08/2022,126.0,40,Low
Husein Augar,UK,Spicy Special Slims,25/08/2022,4697.0,42,Low
Marney O'Breen,USA,Almond Choco,25/02/2022,7798.0,167,High
Kelci Walkden,India,Orange Choco,07/06/2022,9408.0,138,High
Jan Morforth,India,Spicy Special Slims,12/04/2022,1939.0,520,Low
Ches Bonnell,India,Spicy Special Slims,06/07/2022,10906.0,94,High
Kelci Walkden,UK,Smooth Sliky Salty,19/01/2022,5929.0,175,High
Madelene Upcott,Australia,Fruit & Nut Bars,05/01/2022,5579.0,92,High
Madelene Upcott,Canada,70% Dark Bites,24/01/2022,10927.0,141,High
Wilone O'Kielt,Australia,Drinking Coco,06/04/2022,623.0,283,Low
Gunar Cockshoot,Australia,Fruit & Nut Bars,15/06/2022,6013.0,21,High
Gigi Bohling,Canada,Baker's Choco Chips,28/01/2022,1505.0,47,Low
Kelci Walkden,India,Caramel Stuffed Bars,16/03/2022,476.0,125,Low
Rafaelita Blaksland,Australia,Drinking Coco,21/02/2022,11550.0,396,High
Kelci Walkden,USA,Manuka Honey Choco,16/02/2022,17318.0,87,High
Jehu Rudeforth,Canada,Spicy Special Slims,13/01/2022,1848.0,27,Low
Kelci Walkden,Australia,Eclairs,23/03/2022,7273.0,547,High
Curtice Advani,Canada,Spicy Special Slims,16/06/2022,854.0,118,Low
Oby Sorrel,India,Raspberry Choco,14/04/2022,6832.0,46,High
Kelci Walkden,UK,Eclairs,25/01/2022,4606.0,57,Low
Jan Morforth,India,Almond Choco,11/03/2022,4466.0,22,Low
Dotty Strutley,UK,Almond Choco,28/07/2022,16114.0,96,High
Marney O'Breen,New Zealand,After Nines,09/03/2022,1561.0,44,Low
Husein Augar,Australia,Orange Choco,28/06/2022,8897.0,188,High
Marney O'Breen,Australia,Milk Bars,28/07/2022,2464.0,387,Low
Kelci Walkden,Canada,99% Dark & Pure,15/08/2022,4830.0,50,Low
Kaine Padly,Australia,Manuka Honey Choco,12/01/2022,2765.0,264,Low
Beverie Moffet,New Zealand,White Choc,24/03/2022,7126.0,7,High
Van Tuxwell,UK,Milk Bars,25/07/2022,4263.0,90,Low
Oby Sorrel,Canada,99% Dark & Pure,01/08/2022,3605.0,403,Low
Van Tuxwell,India,Organic Choco Syrup,16/05/2022,19929.0,174,High
Roddy Speechley,India,Smooth Sliky Salty,10/08/2022,5103.0,140,High
Jan Morforth,India,Eclairs,05/01/2022,2541.0,27,Low
Ches Bonnell,UK,Smooth Sliky Salty,11/07/2022,5663.0,110,High
Wilone O'Kielt,USA,After Nines,25/04/2022,392.0,30,Low
Gigi Bohling,New Zealand,Fruit & Nut Bars,04/04/2022,10976.0,121,High
Barr Faughny,USA,Raspberry Choco,12/04/2022,9282.0,101,High
Wilone O'Kielt,New Zealand,85% Dark Bars,02/08/2022,1827.0,117,Low
Gigi Bohling,New Zealand,Manuka Honey Choco,28/06/2022,8267.0,272,High
Ches Bonnell,Australia,Eclairs,05/07/2022,4116.0,128,Low
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,07/06/2022,2093.0,45,Low
Brien Boise,New Zealand,Smooth Sliky Salty,18/01/2022,1015.0,27,Low
Brien Boise,Australia,Baker's Choco Chips,04/01/2022,12516.0,212,High
Dennison Crosswaite,Australia,99% Dark & Pure,31/01/2022,2758.0,18,Low
Kelci Walkden,India,Almond Choco,14/03/2022,3297.0,149,Low
Camilla Castle,Australia,70% Dark Bites,29/04/2022,6048.0,477,High
Oby Sorrel,India,Smooth Sliky Salty,07/02/2022,10101.0,108,High
Kaine Padly,UK,Organic Choco Syrup,31/03/2022,2282.0,178,Low
Marney O'Breen,India,Caramel Stuffed Bars,16/03/2022,4361.0,81,Low
Karlen McCaffrey,UK,Eclairs,25/01/2022,7798.0,196,High
Van Tuxwell,India,Baker's Choco Chips,20/06/2022,3052.0,447,Low
Gigi Bohling,UK,After Nines,29/03/2022,8029.0,175,High
Curtice Advani,Australia,Orange Choco,12/07/2022,854.0,136,Low
Jehu Rudeforth,Canada,Smooth Sliky Salty,11/07/2022,5460.0,138,High
Karlen McCaffrey,Canada,Smooth Sliky Salty,19/01/2022,3017.0,184,Low
Andria Kimpton,USA,85% Dark Bars,05/04/2022,8911.0,82,High
Jehu Rudeforth,Canada,Milk Bars,21/02/2022,7203.0,12,High
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20/05/2022,13083.0,14,High
Mallorie Waber,Australia,Milk Bars,29/07/2022,2779.0,104,Low
Barr Faughny,USA,Fruit & Nut Bars,28/01/2022,9058.0,46,High
Marney O'Breen,UK,Caramel Stuffed Bars,19/07/2022,3549.0,112,Low
Mallorie Waber,New Zealand,Manuka Honey Choco,13/04/2022,9436.0,11,High
Roddy Speechley,India,Peanut Butter Cubes,11/02/2022,10283.0,21,High
Roddy Speechley,New Zealand,Milk Bars,02/03/2022,5446.0,116,High
Ches Bonnell,Australia,White Choc,02/03/2022,1043.0,202,Low
Van Tuxwell,USA,99% Dark & Pure,28/07/2022,12586.0,6,High
Kelci Walkden,India,After Nines,07/01/2022,1687.0,520,Low
Brien Boise,UK,White Choc,12/04/2022,5299.0,167,High
Van Tuxwell,Canada,Almond Choco,27/06/2022,3213.0,72,Low
Jehu Rudeforth,Australia,50% Dark Bites,14/01/2022,5194.0,418,High
Karlen McCaffrey,UK,Baker's Choco Chips,07/02/2022,4753.0,389,Low
Jehu Rudeforth,Australia,Orange Choco,23/03/2022,13706.0,26,High
Marney O'Breen,India,Peanut Butter Cubes,10/01/2022,6489.0,146,High
Oby Sorrel,UK,Choco Coated Almonds,17/03/2022,9324.0,41,High
Gigi Bohling,USA,Spicy Special Slims,21/01/2022,10829.0,54,High
Barr Faughny,Australia,White Choc,04/07/2022,8113.0,370,High
Kaine Padly,Canada,Peanut Butter Cubes,04/07/2022,3269.0,176,Low
Dotty Strutley,USA,Manuka Honey Choco,10/08/2022,273.0,210,Low
Dennison Crosswaite,Australia,50% Dark Bites,01/04/2022,7287.0,12,High
Gigi Bohling,India,Raspberry Choco,22/02/2022,2583.0,159,Low
Camilla Castle,UK,White Choc,03/01/2022,9982.0,187,High
Karlen McCaffrey,India,Drinking Coco,31/05/2022,4795.0,233,Low
Dotty Strutley,UK,99% Dark & Pure,03/01/2022,9310.0,282,High
Husein Augar,New Zealand,Caramel Stuffed Bars,27/01/2022,497.0,475,Low
Barr Faughny,UK,50% Dark Bites,28/01/2022,581.0,65,Low
Curtice Advani,Australia,Organic Choco Syrup,28/06/2022,3472.0,311,Low
Husein Augar,UK,Choco Coated Almonds,02/03/2022,4333.0,43,Low
Wilone O'Kielt,Australia,After Nines,27/05/2022,3325.0,26,Low
Dennison Crosswaite,USA,Almond Choco,30/06/2022,11718.0,84,High
Barr Faughny,Canada,Peanut Butter Cubes,07/06/2022,2100.0,78,Low
Kaine Padly,USA,70% Dark Bites,12/05/2022,4018.0,100,Low
Barr Faughny,New Zealand,Raspberry Choco,29/07/2022,6468.0,66,High
Dennison Crosswaite,UK,White Choc,03/08/2022,7238.0,265,High
Barr Faughny,India,Baker's Choco Chips,18/08/2022,6454.0,141,High
Van Tuxwell,New Zealand,Smooth Sliky Salty,14/06/2022,3115.0,42,Low
Beverie Moffet,UK,White Choc,30/06/2022,6475.0,76,High
Camilla Castle,New Zealand,Mint Chip Choco,13/06/2022,1162.0,190,Low
Ches Bonnell,UK,Orange Choco,27/04/2022,14238.0,54,High
Jan Morforth,Australia,White Choc,27/07/2022,3472.0,32,Low
Mallorie Waber,Canada,85% Dark Bars,20/04/2022,1428.0,424,Low
Rafaelita Blaksland,India,Spicy Special Slims,04/01/2022,8064.0,134,High
Ches Bonnell,Australia,Mint Chip Choco,21/02/2022,9660.0,92,High
Karlen McCaffrey,Australia,White Choc,05/01/2022,7357.0,48,High
Beverie Moffet,India,Drinking Coco,15/07/2022,6055.0,46,High
Brien Boise,Australia,Choco Coated Almonds,25/05/2022,5124.0,62,High
Karlen McCaffrey,Canada,Eclairs,20/04/2022,3479.0,358,Low
Gigi Bohling,USA,99% Dark & Pure,02/06/2022,784.0,249,Low
Marney O'Breen,UK,Smooth Sliky Salty,13/05/2022,18991.0,88,High
Beverie Moffet,New Zealand,Baker's Choco Chips,03/08/2022,1372.0,144,Low
Beverie Moffet,Australia,Milk Bars,25/05/2022,735.0,390,Low
Van Tuxwell,UK,Raspberry Choco,16/03/2022,6538.0,79,High
Jan Morforth,Australia,Orange Choco,04/07/2022,3199.0,122,Low
Jehu Rudeforth,India,50% Dark Bites,05/07/2022,3472.0,135,Low
Madelene Upcott,USA,After Nines,15/03/2022,4571.0,430,Low
Barr Faughny,UK,Raspberry Choco,22/08/2022,5481.0,69,High
Ches Bonnell,Australia,70% Dark Bites,12/01/2022,3136.0,125,Low
Marney O'Breen,UK,Baker's Choco Chips,10/06/2022,252.0,154,Low
Kaine Padly,Australia,Peanut Butter Cubes,25/03/2022,5460.0,286,High
Rafaelita Blaksland,India,Almond Choco,27/07/2022,3395.0,99,Low
Husein Augar,UK,Caramel Stuffed Bars,15/04/2022,14938.0,433,High
Roddy Speechley,India,Orange Choco,27/06/2022,4053.0,19,Low
Jehu Rudeforth,UK,70% Dark Bites,14/04/2022,5565.0,258,High
Husein Augar,Australia,Manuka Honey Choco,15/03/2022,7161.0,92,High
Madelene Upcott,USA,Eclairs,18/03/2022,8883.0,200,High
Brien Boise,India,Eclairs,29/04/2022,1351.0,61,Low
Mallorie Waber,New Zealand,White Choc,25/02/2022,3171.0,246,Low
Husein Augar,USA,Milk Bars,02/03/2022,854.0,56,Low
Van Tuxwell,Australia,Milk Bars,20/06/2022,7910.0,87,High
Beverie Moffet,Canada,White Choc,15/07/2022,9275.0,173,High
Dotty Strutley,Australia,50% Dark Bites,12/05/2022,3108.0,252,Low
Mallorie Waber,New Zealand,Organic Choco Syrup,01/07/2022,5075.0,256,High
Husein Augar,USA,85% Dark Bars,08/08/2022,378.0,54,Low
Madelene Upcott,Australia,50% Dark Bites,25/07/2022,7350.0,6,High
Wilone O'Kielt,UK,Drinking Coco,18/05/2022,3388.0,55,Low
Camilla Castle,India,Peanut Butter Cubes,15/07/2022,11837.0,277,High
Curtice Advani,India,70% Dark Bites,05/07/2022,2282.0,44,Low
Mallorie Waber,USA,Manuka Honey Choco,04/07/2022,5425.0,96,High
Dotty Strutley,UK,70% Dark Bites,20/06/2022,1267.0,216,Low
Gunar Cockshoot,Australia,Almond Choco,25/01/2022,3752.0,424,Low
Kaine Padly,New Zealand,Spicy Special Slims,01/07/2022,7728.0,37,High
Gigi Bohling,USA,50% Dark Bites,13/04/2022,2296.0,59,Low
Beverie Moffet,UK,Smooth Sliky Salty,04/05/2022,4403.0,76,Low
Beverie Moffet,Australia,Baker's Choco Chips,04/08/2022,3192.0,109,Low
Beverie Moffet,India,70% Dark Bites,01/06/2022,448.0,146,Low
Jehu Rudeforth,UK,Choco Coated Almonds,22/04/2022,4270.0,185,Low
Kaine Padly,USA,50% Dark Bites,03/08/2022,70.0,27,Low
Ches Bonnell,USA,Orange Choco,10/06/2022,1743.0,69,Low
Gunar Cockshoot,UK,Manuka Honey Choco,27/06/2022,6762.0,46,High
Marney O'Breen,Australia,Smooth Sliky Salty,03/01/2022,3745.0,170,Low
Marney O'Breen,India,After Nines,11/07/2022,2639.0,179,Low
Ches Bonnell,New Zealand,Milk Bars,17/08/2022,4389.0,126,Low
Rafaelita Blaksland,USA,Fruit & Nut Bars,18/01/2022,2604.0,65,Low
Ches Bonnell,India,Organic Choco Syrup,08/03/2022,16569.0,99,High
Mallorie Waber,Australia,Orange Choco,07/03/2022,14658.0,275,High
Husein Augar,India,70% Dark Bites,09/05/2022,6454.0,157,High
Barr Faughny,New Zealand,85% Dark Bars,23/05/2022,2100.0,157,Low
Madelene Upcott,UK,Caramel Stuffed Bars,15/04/2022,161.0,145,Low
Gigi Bohling,Australia,Drinking Coco,27/07/2022,2807.0,139,Low
Marney O'Breen,Canada,Choco Coated Almonds,22/08/2022,2639.0,406,Low
Ches Bonnell,USA,70% Dark Bites,11/05/2022,4571.0,122,Low
Madelene Upcott,India,Organic Choco Syrup,26/01/2022,4781.0,38,Low
Barr Faughny,USA,50% Dark Bites,14/04/2022,13034.0,117,High
Dennison Crosswaite,New Zealand,Mint Chip Choco,05/04/2022,6454.0,417,High
Marney O'Breen,New Zealand,Smooth Sliky Salty,14/06/2022,8484.0,57,High
Brien Boise,Canada,Almond Choco,13/04/2022,4781.0,125,Low
Beverie Moffet,Australia,White Choc,27/06/2022,2240.0,166,Low
Dotty Strutley,Australia,Eclairs,26/01/2022,6979.0,3,High
Barr Faughny,UK,White Choc,05/07/2022,1652.0,72,Low
Beverie Moffet,Canada,Baker's Choco Chips,11/01/2022,13447.0,95,High
Kelci Walkden,USA,White Choc,07/03/2022,9422.0,22,High
Kaine Padly,Canada,50% Dark Bites,04/03/2022,8687.0,100,High
Karlen McCaffrey,Canada,Organic Choco Syrup,15/07/2022,2415.0,312,Low
Kaine Padly,UK,Peanut Butter Cubes,11/05/2022,6272.0,86,High
Karlen McCaffrey,USA,Milk Bars,27/01/2022,4389.0,7,Low
Karlen McCaffrey,India,Orange Choco,27/06/2022,3122.0,149,Low
Ches Bonnell,India,Smooth Sliky Salty,03/08/2022,8043.0,18,High
Wilone O'Kielt,New Zealand,Mint Chip Choco,19/08/2022,11662.0,242,High
Wilone O'Kielt,Australia,Fruit & Nut Bars,15/06/2022,392.0,102,Low
Dennison Crosswaite,UK,Peanut Butter Cubes,07/02/2022,8925.0,158,High
Karlen McCaffrey,Australia,Almond Choco,08/07/2022,7294.0,128,High
Dennison Crosswaite,India,Milk Bars,21/04/2022,1526.0,96,Low
Ches Bonnell,UK,Mint Chip Choco,08/04/2022,2688.0,209,Low
Husein Augar,Australia,50% Dark Bites,19/08/2022,14889.0,52,High
Jan Morforth,India,Fruit & Nut Bars,04/05/2022,2912.0,55,Low
Mallorie Waber,USA,85% Dark Bars,11/05/2022,2632.0,108,Low
Mallorie Waber,USA,Eclairs,22/03/2022,6328.0,51,High
Dennison Crosswaite,Canada,Spicy Special Slims,10/08/2022,2527.0,216,Low
Dennison Crosswaite,USA,Fruit & Nut Bars,04/05/2022,1414.0,318,Low
Kelci Walkden,USA,99% Dark & Pure,18/08/2022,7714.0,238,High
Dotty Strutley,Canada,Raspberry Choco,03/08/2022,4347.0,238,Low
Marney O'Breen,New Zealand,Milk Bars,14/01/2022,7490.0,315,High
Madelene Upcott,Australia,Choco Coated Almonds,08/04/2022,2058.0,72,Low
Kelci Walkden,UK,Orange Choco,01/08/2022,3640.0,3,Low
Dennison Crosswaite,Canada,Eclairs,15/03/2022,455.0,45,Low
Karlen McCaffrey,India,Mint Chip Choco,15/07/2022,10990.0,184,High
Barr Faughny,New Zealand,Almond Choco,13/01/2022,5558.0,127,High
Mallorie Waber,Australia,85% Dark Bars,26/08/2022,2541.0,53,Low
Ches Bonnell,Canada,Eclairs,10/01/2022,1876.0,172,Low
Gigi Bohling,Australia,White Choc,11/05/2022,5523.0,87,High
Beverie Moffet,New Zealand,85% Dark Bars,30/08/2022,11200.0,22,High
Kaine Padly,USA,Caramel Stuffed Bars,21/07/2022,5593.0,122,High
Mallorie Waber,Australia,Almond Choco,01/08/2022,7882.0,125,High
Brien Boise,Canada,85% Dark Bars,17/02/2022,10241.0,259,High
Brien Boise,Australia,Drinking Coco,27/07/2022,6832.0,156,High
Dotty Strutley,USA,Orange Choco,23/02/2022,1379.0,107,Low
Rafaelita Blaksland,Australia,50% Dark Bites,22/03/2022,3010.0,40,Low
Dennison Crosswaite,India,99% Dark & Pure,23/06/2022,6888.0,311,High
Curtice Advani,UK,White Choc,01/02/2022,1540.0,73,Low
Kelci Walkden,Australia,After Nines,02/03/2022,6916.0,288,High
Gigi Bohling,UK,Fruit & Nut Bars,06/04/2022,1232.0,86,Low
Gunar Cockshoot,Australia,Raspberry Choco,17/03/2022,602.0,72,Low
Curtice Advani,UK,Fruit & Nut Bars,24/06/2022,10927.0,136,High
Barr Faughny,Canada,50% Dark Bites,19/07/2022,10185.0,303,High
Curtice Advani,USA,Spicy Special Slims,11/07/2022,1603.0,264,Low
Brien Boise,India,Almond Choco,13/01/2022,2170.0,218,Low
Oby Sorrel,New Zealand,Smooth Sliky Salty,07/07/2022,8673.0,60,High
Jan Morforth,India,85% Dark Bars,25/05/2022,4760.0,418,Low
Marney O'Breen,India,Fruit & Nut Bars,13/04/2022,4753.0,151,Low
Andria Kimpton,New Zealand,50% Dark Bites,02/03/2022,3374.0,202,Low
Gunar Cockshoot,Canada,Raspberry Choco,23/06/2022,2058.0,126,Low
Kelci Walkden,USA,Drinking Coco,26/07/2022,6454.0,160,High
Van Tuxwell,Canada,White Choc,22/03/2022,420.0,3,Low
Rafaelita Blaksland,USA,Baker's Choco Chips,09/06/2022,2863.0,58,Low
Van Tuxwell,Australia,Caramel Stuffed Bars,17/05/2022,5936.0,59,High
Ches Bonnell,New Zealand,Peanut Butter Cubes,04/03/2022,889.0,273,Low
Kelci Walkden,Canada,Milk Bars,07/07/2022,16016.0,28,High
Dennison Crosswaite,Canada,Choco Coated Almonds,13/01/2022,10479.0,118,High
Curtice Advani,Australia,Almond Choco,13/07/2022,2912.0,75,Low
Madelene Upcott,Australia,85% Dark Bars,16/06/2022,1575.0,329,Low
Gigi Bohling,UK,50% Dark Bites,18/07/2022,8197.0,69,High
Ches Bonnell,UK,Manuka Honey Choco,30/05/2022,4221.0,395,Low
Gigi Bohling,UK,70% Dark Bites,21/06/2022,840.0,81,Low
Jehu Rudeforth,Australia,Peanut Butter Cubes,24/06/2022,5691.0,38,High
Marney O'Breen,India,Eclairs,13/01/2022,3472.0,96,Low
Curtice Advani,Canada,Fruit & Nut Bars,04/04/2022,4193.0,195,Low
Kaine Padly,UK,Smooth Sliky Salty,08/06/2022,9016.0,554,High
Karlen McCaffrey,Canada,Spicy Special Slims,02/08/2022,6328.0,47,High
Kelci Walkden,USA,Organic Choco Syrup,21/07/2022,9870.0,152,High
Curtice Advani,India,Spicy Special Slims,20/06/2022,161.0,134,Low
Roddy Speechley,India,After Nines,22/06/2022,2576.0,112,Low
Camilla Castle,Australia,Caramel Stuffed Bars,02/05/2022,3178.0,16,Low
Curtice Advani,Australia,99% Dark & Pure,07/01/2022,4676.0,84,Low
Mallorie Waber,UK,50% Dark Bites,21/02/2022,5502.0,99,High
Ches Bonnell,Canada,Baker's Choco Chips,21/03/2022,7462.0,371,High
Van Tuxwell,UK,Drinking Coco,04/04/2022,5803.0,136,High
Gunar Cockshoot,Canada,Fruit & Nut Bars,24/03/2022,13888.0,203,High
Gunar Cockshoot,New Zealand,Spicy Special Slims,28/06/2022,6867.0,183,High
Gunar Cockshoot,Australia,Drinking Coco,14/01/2022,2317.0,195,Low
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,07/02/2022,1218.0,135,Low
Dennison Crosswaite,New Zealand,Drinking Coco,11/01/2022,4109.0,197,Low
Jehu Rudeforth,India,99% Dark & Pure,25/02/2022,1953.0,242,Low
Dotty Strutley,Australia,Mint Chip Choco,01/08/2022,6790.0,25,High
Roddy Speechley,Australia,Mint Chip Choco,05/05/2022,6797.0,252,High
Madelene Upcott,New Zealand,Raspberry Choco,18/05/2022,9226.0,415,High
Dotty Strutley,New Zealand,Choco Coated Almonds,04/01/2022,5733.0,348,High
Roddy Speechley,New Zealand,50% Dark Bites,09/05/2022,4312.0,211,Low
Rafaelita Blaksland,India,Smooth Sliky Salty,06/05/2022,1638.0,81,Low
Husein Augar,UK,White Choc,13/01/2022,10815.0,145,High
